L4 | Sat Jan 18 00:07:20 2020 (615 ms) | general | exiting: calling SDL_CloseAudio
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | 60 fps
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | 100 fps
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | 120 fps
L4 | Sat Jan 18 00:25:53 2020 (496 ms) | general | 144 fps
L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general | Sticking with user's current screen resolution
L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general | Checking if requested video mode (1440x900) is available
L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general | Available video modes:
L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    2560 x 1600

L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1920 x 1440

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1920 x 1200

L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1856 x 1392

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1792 x 1344

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1680 x 1050

L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1600 x 1200

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1440 x 900

L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1400 x 1050

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1360 x 768

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1280 x 1024

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1280 x 960

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1280 x 800

L4 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1280 x 768

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1152 x 864

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    1024 x 768

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    800 x 600

L5 | Sat Jan 18 00:25:53 2020 (497 ms) | general |    640 x 480

L4 | Sat Jan 18 00:25:53 2020 (585 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Sat Jan 18 00:25:53 2020 (830 ms) | general | Recording game into file recordedGames/recordedGame000089.txt
L4 | Sat Jan 18 00:25:53 2020 (830 ms) | general | Only keeping 20 past recordings
